x,y,steering,heading
14.32040107,4.44918402,-0.425172356,-0.311907292
14.32435967,4.447099522,-0.426552195,-0.313002599
14.32832071,4.445005037,-0.42793444,-0.314103485
14.33228401,4.442900602,-0.429319038,-0.315209931
14.33623091,4.440796126,-0.430699475,-0.316316718
14.34018251,4.43868034,-0.432083137,-0.317429776
14.34412663,4.436559741,-0.433465762,-0.318545683
14.34812102,4.434403056,-0.434867641,-0.319680918
14.3519987,4.432300682,-0.436230128,-0.320787836
14.35592745,4.430161757,-0.437612163,-0.321914322
14.35985199,4.428016195,-0.438994333,-0.32304461
14.36377404,4.425863031,-0.440377249,-0.324179206
14.36769047,4.423703955,-0.44175982,-0.325317216
14.37160125,4.421538971,-0.44314204,-0.326458638
14.37556308,4.419336467,-0.444543988,-0.327620161
14.37941041,4.417188706,-0.445907047,-0.328753066
14.38337133,4.414968213,-0.447312057,-0.329924671
14.38719887,4.412813564,-0.448671387,-0.331061774
14.39108343,4.410617709,-0.450052642,-0.332220926
14.39496608,4.408413737,-0.451434911,-0.333384646
14.3988415,4.406204658,-0.4528163,-0.33455134
14.40271545,4.403987157,-0.454198876,-0.335722762
14.40658262,4.401764249,-0.455580751,-0.336897315
14.41045008,4.399531847,-0.456964456,-0.338077159
14.4143065,4.397296468,-0.458345949,-0.339258845
14.41815923,4.395053861,-0.45972786,-0.340444622
14.42201361,4.392800858,-0.461112122,-0.341636165
14.42585595,4.390545453,-0.462493821,-0.342829241
14.4296966,4.388281565,-0.463876683,-0.344027068
14.43352731,4.386014043,-0.465257745,-0.345227077
14.43735539,4.383738547,-0.466639648,-0.346431566
14.44123779,4.381420949,-0.468043007,-0.347658626
14.44500079,4.37916522,-0.469404973,-0.348853141
14.44881943,4.37686653,-0.470788894,-0.35007068
14.45263039,4.374562785,-0.472171862,-0.351291149
14.45643376,4.372253936,-0.47355391,-0.352514572
14.4602328,4.369937987,-0.47493623,-0.353742006
14.46402482,4.367616567,-0.476317848,-0.354972588
14.46781498,4.365286485,-0.477700656,-0.356208009
14.4715986,4.36295059,-0.479082957,-0.357446757
14.47537227,4.360611002,-0.4804635,-0.358687706
14.47914517,4.358262005,-0.481845655,-0.359933889
14.48291755,4.35590338,-0.483229531,-0.361185424
14.48667681,4.353543016,-0.484610502,-0.362438119
14.49043398,4.351173972,-0.485992632,-0.363695662
14.49418741,4.348797248,-0.487375323,-0.36495752
14.49793504,4.346414135,-0.488757821,-0.366223008
14.50167514,4.344025714,-0.490139499,-0.36749155
14.50541151,4.341629545,-0.491521764,-0.368764443
14.50914668,4.339223963,-0.492905564,-0.370042574
14.51287288,4.336813947,-0.49428803,-0.371323293
14.51659426,4.334396808,-0.495670705,-0.372608032
14.52030962,4.331973303,-0.497053153,-0.373896387
14.52401901,4.329543387,-0.498435397,-0.375188383
14.52772444,4.327105705,-0.499818202,-0.37648474
14.53151909,4.324598501,-0.501236429,-0.377818345
14.53521166,4.322148232,-0.502618576,-0.379121864
14.53890942,4.319684017,-0.504004738,-0.380433038
14.54248315,4.317292467,-0.505346377,-0.381705724
14.54615575,4.314824348,-0.506727198,-0.383019424
14.54983127,4.312343685,-0.508111217,-0.384340033
14.55349231,4.309862205,-0.509491892,-0.385661304
14.55715063,4.30737195,-0.510873653,-0.386987477
14.56080486,4.304873797,-0.512256005,-0.388318087
14.56445841,4.302365376,-0.513640243,-0.389654398
14.56810122,4.299853568,-0.515022571,-0.390992741
14.57173778,4.297335285,-0.51640469,-0.392334764
14.57537032,4.294808947,-0.517787464,-0.39368131
14.57899459,4.292277498,-0.519169278,-0.39503081
14.58261364,4.289738795,-0.520551303,-0.396384408
14.58622474,4.287194743,-0.521932501,-0.397741088
14.58983231,4.284642197,-0.523314574,-0.399102529
14.59343397,4.28208281,-0.524696623,-0.400467852
14.59708456,4.279477308,-0.526099757,-0.401858034
14.60062188,4.27694176,-0.527461573,-0.40321108
14.60420563,4.274361849,-0.528843528,-0.404588053
14.6077841,4.271774553,-0.530225736,-0.405969201
14.6113552,4.269181373,-0.531607394,-0.407353726
14.61498988,4.266530394,-0.533016044,-0.408769382
14.61848337,4.263971369,-0.534372239,-0.410136112
